Код теста;Исследование ;Название в ЛИС;Состояние натощак;Исследуемый биоматериал;Номер контейнера;Важные ПРЕАНАЛИТИЧЕСКИЕ замечания ;Тип ПЕРВИЧНОГО контейнера;Тип контейнера для ХРАНЕНИЯ и ТРАНСПОРТИРОВКИ;Температура хранения и транспортировки;Правила взятия и пробоподготовки биоматериала
AN1266КФ;Исследование желчного камня (ИК-спектрометрия);Исследование химического состава желчного камня (ИК спектрометрия);;камень;838;;Стерильный контейнер с красной крышкой;Стерильный контейнер с красной крышкой;специальных условий не требуется;1.Образцы камней#comma#  извлеченных при оперативном вмешательстве (желчный пузырь)#comma# размером не менее 0.5 мм промыть холодной водой#comma# высушить. 2. Поместить в  стерильный контейнер с красной крышкой (СКК). 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. 4. Камни#comma# имеющие линейный размер по одному измерению от 0#comma#5 мм до 1 мм#comma# промаркировать надписью «Микро» на СКК.
AN39ISE;Электролиты (Калий#comma#натрий#comma#хлор) ;K/Na/Cl;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN40MG;Магний;Магний;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN41PHOS;Фосфор неорганический;Фосфор неорганический;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN48FE;Железо;Железо;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN18KET;Определение кетонов в крови тест-полоской;Определение кетонов в крови (тест-полоска);12 ч;сыворотка крови;908;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN165CA2;Кальций ионизированный;Кальций ионизированный;12 ч;сыворотка крови;801;желательно производить взятие крови вакуумом;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; -17°С…-23оС;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. Крышку не открывать! 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл
AN1119ZN;Цинк;Цинк;12 ч;кровь с ЭДТА;897;;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой крышкой / Калий ЭДТА.  2. Осторожно перевернуть пробирку 7-10 раз. 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2 мл 
AN1114CU;Медь;Медь;12 ч;кровь с ЭДТА;897;;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой крышкой / Калий ЭДТА.  2. Осторожно перевернуть пробирку 7-10 раз. 3. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2 мл 
AN1ОБС;Базовый (АЛТ#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# глюкоза#comma# креатинин#comma# мочевина) 7;AN1ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN2ОБС;Оптимальный (АЛТ#comma# АСТ#comma# альбумин#comma# белок общий#comma# альбумин/глобулин соотношение#comma# билирубин общий#comma# ГГТ#comma# глюкоза#comma# мочевина#comma# креатинин#comma# ЩФ) 11;AN2ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN3ОБС;Стандартный (АЛТ#comma# альбумин#comma# альбумин/глобулин соотношение#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# ГГТ#comma# глюкоза#comma#  калий#comma# кальций#comma# креатинин#comma# мочевина#comma# натрий#comma# фосфор#comma# ЩФ#comma# хлор) 16;AN3ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN137ОБС;Стандартный для кошек (АЛТ#comma# альбумин#comma# альбумин/глобулин соотношение#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# ГГТ#comma# глюкоза#comma# кальций#comma# креатинин#comma# мочевина#comma# фосфор#comma# ЩФ + фруктозамин) 14;AN137ОБС;12 ч;сыворотка крови;800+981;В лабораторию поступает 2 пробирки;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN4ОБС;Расширенный (АЛТ#comma# альбумин#comma# альбумин/глобулин соотношение#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# ГГТ#comma# глюкоза#comma# калий#comma# кальций#comma# креатинин#comma# мочевина#comma# натрий#comma# триглицериды#comma# фосфор#comma# холестерин#comma# хлор#comma# ЩФ) 18;AN4ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN5ОБС;Максимальный (АЛТ#comma# альбумин#comma# альбумин/глобулин соотношение#comma# амилаза#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# билирубин прямой#comma# ГГТ#comma# глюкоза#comma# железо#comma# калий#comma# кальций#comma# креатинин#comma# КФК#comma# ЛДГ#comma# липаза#comma# магний#comma# мочевина#comma# натрий#comma# триглицериды#comma# фосфор#comma# хлор#comma# холестерин#comma# ЩФ) 25;AN5ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN6ОБС;Почечный (альбумин#comma# белок общий#comma# глюкоза#comma# калий#comma# кальций#comma# креатинин#comma# мочевина#comma# натрий#comma# фосфор#comma# хлор) 10;AN6ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN7ОБС;Печеночный (АЛТ#comma# альбумин#comma# АСТ#comma# белок общий#comma# билирубин общий#comma#  ГГТ#comma# глюкоза#comma# мочевина#comma# холестерин#comma# ЩФ) 10;AN7ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN8ОБС;Печеночный расширенный (АЛТ#comma# альбумин#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# ГГТ#comma# глюкоза#comma# мочевина#comma# холестерин#comma# ЩФ) 10 + Желчные кислоты (проба натощак + проба после приема пищи);AN8ОБС;12 ч;сыворотка крови;800+842;Профиль из 2 проб ж.к-т. Первая берется стрго натощак#comma# вторая через 2 часа после кормления;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN9ОБС;Предоперационный (АЛТ#comma# альбумин#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# глюкоза#comma# калий#comma# креатинин#comma# мочевина#comma# натрий#comma# хлор#comma# ЩФ) 12;AN9ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN10ОБС;Диабетический первичный (АЛТ#comma# альбумин#comma# АСТ#comma# белок общий#comma# глюкоза#comma# калий#comma# кальций#comma# креатинин#comma# липаза#comma# мочевина#comma# натрий#comma# триглицериды#comma# холестерин#comma# хлор#comma# ЩФ + фруктозамин) 16 + Общий анализ мочи + Кетоны в крови;AN10ОБС;12 ч;сыворотка крови + моча;800#comma# 908;В лабораторию поступает 2 пробирки;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN10ОБС;Диабетический первичный (АЛТ#comma# альбумин#comma# АСТ#comma# белок общий#comma# глюкоза#comma# калий#comma# кальций#comma# креатинин#comma# липаза#comma# мочевина#comma# натрий#comma# триглицериды#comma# холестерин#comma# хлор#comma# ЩФ + фруктозамин) 16 + Общий анализ мочи + Кетоны в крови;AN10ОБС;12 ч;сыворотка крови + моча;911;В лабораторию поступает 2 пробирки;Контейнер для сбора мочи + Пробирка с красно-желтой крышкой / с консервантом;Пробирка с красно-желтой крышкой / с консервантом; +2°С…+8°С;1. В лабораторию поступает пробирка с красно-желтой крышкой / с консервантом. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 5 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 4 мл 
AN11ОБС;Контроль диабета (АЛТ#comma# АСТ#comma# глюкоза#comma# кальций#comma#  триглицериды#comma# холестерин#comma# ЩФ + фруктозамин) 8;AN11ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN169ОБС;Мониторинг лечения фенобарбиталом (АЛТ#comma# альбумин#comma# ГГТ#comma# желчные кислоты (проба натощак)#comma# ЩФ) 5 + Фенобарбитал;AN169ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN169ОБС;Мониторинг лечения фенобарбиталом (АЛТ#comma# альбумин#comma# ГГТ#comma# желчные кислоты (проба натощак)#comma# ЩФ) 5 + Фенобарбитал;AN169ОБС;12 ч;сыворотка крови;889;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN12ОБС;Неврологический профиль первичный (АЛТ#comma# альбумин#comma#  альбумин/глобулин соотношение#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# глюкоза#comma#желочные кислоты(проба натощак)#comma# калий#comma# кальций#comma# креатинин#comma# магний#comma# мочевина#comma# натрий#comma# Na/K соотношение#comma# триглицериды#comma# хлор#comma# холестерин#comma# ЩФ) 19 + Тироксин (Т4 общий);AN12ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN12ОБС;Неврологический профиль первичный (АЛТ#comma# альбумин#comma#  альбумин/глобулин соотношение#comma# АСТ#comma# белок общий#comma# билирубин общий#comma# глюкоза#comma#желочные кислоты(проба натощак)#comma# калий#comma# кальций#comma# креатинин#comma# магний#comma# мочевина#comma# натрий#comma# Na/K соотношение#comma# триглицериды#comma# хлор#comma# холестерин#comma# ЩФ) 19 + Тироксин (Т4 общий);AN12ОБС;12 ч;сыворотка крови;891;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN13ОБС;Неврологический мониторинг (АЛТ#comma# альбумин#comma# АСТ#comma# билирубин общий#comma# калий#comma# кальций#comma# креатинин#comma# магний#comma# мочевина#comma# натрий#comma# хлор#comma# ЩФ) 12;AN13ОБС;12 ч;сыворотка крови;800;;Пробирка с красной крышкой#comma# с ГЕЛЕМ;Пробирка с красной крышкой#comma# с ГЕЛЕМ; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой#comma# с ГЕЛЕМ.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN117V12;Исследование на уровень кобаламина (цианокобаламина#comma# витамина В12);Витамин В12;12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN118FOL;Витамин В9;Витамин В9;12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN928VD3;Исследование на уровень 25-ОН витамина D;Витамин 25(ОН) D;12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN116;Общий анализ мочи (с микроскопией осадка);Общий анализ мочи;4 часа;моча ;911;;Контейнер для сбора мочи + Пробирка с желтой крышкой / с консервантом;Пробирка с желтой крышкой / с консервантом; +2°С…+8°С;1. В лабораторию поступает пробирка с желтой крышкой / с консервантом. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 5 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 4 мл 
AN28110;Соотношение белок / креатинин в моче;Белок/креатинин соотношение в моче;;моча ;829;;Контейнер для сбора мочи + Пробирка с белой крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. В лабораторию поступает пробирка с белой крышкой. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 4 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 2 мл 
AN15110;ГГТ/креатинин соотношение в моче;Гамма-ГТ/креатинин соотношение в моче;;моча ;829;;Контейнер для сбора мочи + Пробирка с белой крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. В лабораторию поступает пробирка с белой крышкой. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирку мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 4 мл мочи использовать стерильный шприц. 7. Пробирку маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 2 мл 
